satellite, 574 MIDAS 6 (FTV 1169) / US
catalogue, 1 NORAD
track, 28349340
variability, 2 Periodic
variability_period, 16.34752984
npoints, 1182
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2024-05-16,00:10:27.197000,6.171,8.58628,Clear,0,3839.205,53.261,5
2024-05-16,00:10:27.297000,6.033,8.44832,Clear,0,3839.099,53.268,5
2024-05-16,00:10:27.397000,6.143,8.55752,Clear,0,3838.992,53.276,5
2024-05-16,00:10:27.497000,6.04,8.45527,Clear,0,3838.886,53.283,5
2024-05-16,00:10:27.597000,6.054,8.46888,Clear,0,3838.78,53.29,5
2024-05-16,00:10:27.697000,6.373,8.78747,Clear,0,3838.674,53.297,5
2024-05-16,00:10:27.797000,6.003,8.41819,Clear,0,3838.569,53.304,5
2024-05-16,00:10:27.897000,6.019,8.43375,Clear,0,3838.463,53.312,5
2024-05-16,00:10:27.997000,6.247,8.66195,Clear,0,3838.357,53.319,5
2024-05-16,00:10:28.097000,5.904,8.3194,Clear,0,3838.251,53.326,5
2024-05-16,00:10:28.197000,5.809,8.22354,Clear,0,3838.146,53.333,5
2024-05-16,00:10:28.297000,5.77,8.1845,Clear,0,3838.04,53.341,5
2024-05-16,00:10:28.397000,5.8,8.21496,Clear,0,3837.934,53.348,5
2024-05-16,00:10:28.497000,5.652,8.06711,Clear,0,3837.829,53.355,5
2024-05-16,00:10:28.597000,5.572,7.98698,Clear,0,3837.724,53.362,5
2024-05-16,00:10:28.697000,5.603,8.01805,Clear,0,3837.618,53.369,5
2024-05-16,00:10:28.797000,5.417,7.83232,Clear,0,3837.513,53.377,5
2024-05-16,00:10:28.897000,5.296,7.71092,Clear,0,3837.408,53.384,5
2024-05-16,00:10:28.997000,5.191,7.60624,Clear,0,3837.303,53.391,5
2024-05-16,00:10:29.097000,5.313,7.728,Clear,0,3837.197,53.398,5
2024-05-16,00:10:29.197000,5.099,7.51438,Clear,0,3837.092,53.406,5
2024-05-16,00:10:29.297000,5.302,7.71735,Clear,0,3836.987,53.413,5
2024-05-16,00:10:29.397000,5.03,7.44446,Clear,0,3836.883,53.42,5
2024-05-16,00:10:29.497000,5.3,7.71506,Clear,0,3836.778,53.427,5
2024-05-16,00:10:29.597000,5.169,7.58414,Clear,0,3836.673,53.435,5
2024-05-16,00:10:29.697000,5.131,7.54586,Clear,0,3836.568,53.442,5
2024-05-16,00:10:29.797000,5.286,7.70126,Clear,0,3836.463,53.449,5
2024-05-16,00:10:30.399000,4.786,7.20057,Clear,0,3835.835,53.493,5
2024-05-16,00:10:30.499000,4.728,7.14287,Clear,0,3835.73,53.5,5
2024-05-16,00:10:30.599000,4.585,6.9995,Clear,0,3835.626,53.507,5
2024-05-16,00:10:30.699000,4.617,7.03239,Clear,0,3835.522,53.514,5
2024-05-16,00:10:30.799000,4.488,6.90249,Clear,0,3835.418,53.522,5
2024-05-16,00:10:30.899000,4.519,6.93364,Clear,0,3835.314,53.529,5
2024-05-16,00:10:30.999000,4.569,6.98438,Clear,0,3835.21,53.536,5
2024-05-16,00:10:31.099000,4.461,6.87574,Clear,0,3835.106,53.543,5
2024-05-16,00:10:31.199000,4.637,7.05203,Clear,0,3835.002,53.551,5
2024-05-16,00:10:31.299000,4.516,6.93132,Clear,0,3834.899,53.558,5
2024-05-16,00:10:31.399000,4.683,7.09803,Clear,0,3834.795,53.565,5
2024-05-16,00:10:31.499000,4.787,7.20212,Clear,0,3834.691,53.572,5
2024-05-16,00:10:31.599000,4.774,7.18876,Clear,0,3834.588,53.58,5
2024-05-16,00:10:31.699000,4.625,7.03994,Clear,0,3834.484,53.587,5
2024-05-16,00:10:31.799000,4.699,7.114,Clear,0,3834.381,53.594,5
2024-05-16,00:10:31.899000,4.716,7.13058,Clear,0,3834.277,53.601,5
2024-05-16,00:10:31.999000,4.787,7.20225,Clear,0,3834.174,53.609,5
2024-05-16,00:10:32.099000,4.738,7.15259,Clear,0,3834.071,53.616,5
2024-05-16,00:10:32.199000,4.9,7.3154,Clear,0,3833.967,53.623,5
2024-05-16,00:10:32.299000,4.626,7.04094,Clear,0,3833.864,53.63,5
2024-05-16,00:10:32.399000,4.668,7.08286,Clear,0,3833.761,53.638,5
2024-05-16,00:10:32.499000,4.8,7.21447,Clear,0,3833.658,53.645,5
2024-05-16,00:10:32.599000,4.714,7.12925,Clear,0,3833.555,53.652,5
2024-05-16,00:10:32.699000,4.797,7.21199,Clear,0,3833.452,53.659,5
2024-05-16,00:10:32.799000,4.955,7.36968,Clear,0,3833.35,53.667,5
2024-05-16,00:10:32.899000,5.006,7.42049,Clear,0,3833.247,53.674,5
2024-05-16,00:10:32.999000,5.143,7.55763,Clear,0,3833.144,53.681,5
2024-05-16,00:10:33.099000,5.189,7.6038,Clear,0,3833.041,53.688,5
2024-05-16,00:10:33.199000,5.248,7.66264,Clear,0,3832.939,53.696,5
2024-05-16,00:10:33.299000,5.266,7.68118,Clear,0,3832.836,53.703,5
2024-05-16,00:10:33.399000,5.418,7.83324,Clear,0,3832.734,53.71,5
2024-05-16,00:10:33.499000,5.279,7.69391,Clear,0,3832.631,53.717,5
2024-05-16,00:10:33.599000,5.512,7.92738,Clear,0,3832.529,53.725,5
2024-05-16,00:10:33.699000,5.697,8.1116,Clear,0,3832.427,53.732,5
2024-05-16,00:10:33.799000,5.467,7.88243,Clear,0,3832.324,53.739,5
2024-05-16,00:10:33.899000,5.779,8.19349,Clear,0,3832.222,53.746,5
2024-05-16,00:10:33.999000,5.826,8.2409,Clear,0,3832.12,53.754,5
2024-05-16,00:10:34.099000,5.843,8.2582,Clear,0,3832.018,53.761,5
2024-05-16,00:10:34.199000,5.857,8.27231,Clear,0,3831.916,53.768,5
2024-05-16,00:10:34.299000,6.116,8.53082,Clear,0,3831.814,53.775,5
2024-05-16,00:10:34.399000,6.365,8.78026,Clear,0,3831.712,53.783,5
2024-05-16,00:10:34.499000,6.016,8.43094,Clear,0,3831.611,53.79,5
2024-05-16,00:10:34.599000,5.854,8.26851,Clear,0,3831.509,53.797,5
2024-05-16,00:10:34.699000,6.134,8.54989,Clear,0,3831.407,53.805,5
2024-05-16,00:10:34.799000,6.241,8.657,Clear,0,3831.306,53.812,5
2024-05-16,00:10:34.899000,6.191,8.60683,Clear,0,3831.204,53.819,5
2024-05-16,00:10:34.999000,6.252,8.66841,Clear,0,3831.102,53.826,5
2024-05-16,00:10:35.099000,6.118,8.5339,Clear,0,3831.001,53.834,5
2024-05-16,00:10:35.199000,6.176,8.59184,Clear,0,3830.9,53.841,5
2024-05-16,00:10:35.299000,6.237,8.65306,Clear,0,3830.798,53.848,5
2024-05-16,00:10:35.399000,6.301,8.7174,Clear,0,3830.697,53.855,5
2024-05-16,00:10:35.499000,6.545,8.96098,Clear,0,3830.596,53.863,5
2024-05-16,00:10:35.599000,6.407,8.82256,Clear,0,3830.495,53.87,5
2024-05-16,00:10:35.699000,6.466,8.88164,Clear,0,3830.394,53.877,5
2024-05-16,00:10:35.799000,6.329,8.74543,Clear,0,3830.293,53.885,5
2024-05-16,00:10:35.899000,6.363,8.77891,Clear,0,3830.192,53.892,5
2024-05-16,00:10:35.999000,6.162,8.57838,Clear,0,3830.091,53.899,5
2024-05-16,00:10:36.099000,6.198,8.61392,Clear,0,3829.99,53.906,5
2024-05-16,00:10:36.198000,6.301,8.71707,Clear,0,3829.89,53.914,5
2024-05-16,00:10:36.298000,5.97,8.38581,Clear,0,3829.79,53.921,5
2024-05-16,00:10:36.398000,5.977,8.39277,Clear,0,3829.689,53.928,5
2024-05-16,00:10:36.498000,5.929,8.3446,Clear,0,3829.588,53.935,5
2024-05-16,00:10:36.598000,6.185,8.60069,Clear,0,3829.488,53.943,5
2024-05-16,00:10:36.698000,5.856,8.27145,Clear,0,3829.387,53.95,5
2024-05-16,00:10:36.798000,5.964,8.37966,Clear,0,3829.287,53.957,5
2024-05-16,00:10:36.898000,5.976,8.3916,Clear,0,3829.187,53.965,5
2024-05-16,00:10:36.998000,5.877,8.29317,Clear,0,3829.086,53.972,5
2024-05-16,00:10:37.098000,5.751,8.16706,Clear,0,3828.986,53.979,5
2024-05-16,00:10:37.198000,5.717,8.13265,Clear,0,3828.886,53.986,5
2024-05-16,00:10:37.298000,5.717,8.13265,Clear,0,3828.786,53.994,5
2024-05-16,00:10:37.398000,5.766,8.18164,Clear,0,3828.686,54.001,5
2024-05-16,00:10:37.498000,5.568,7.98428,Clear,0,3828.586,54.008,5
2024-05-16,00:10:37.598000,5.517,7.93307,Clear,0,3828.486,54.016,5
2024-05-16,00:10:37.698000,5.57,7.98641,Clear,0,3828.386,54.023,5
2024-05-16,00:10:37.798000,5.443,7.8585,Clear,0,3828.287,54.03,5
2024-05-16,00:10:37.898000,5.292,7.7082,Clear,0,3828.187,54.037,5
2024-05-16,00:10:37.998000,5.22,7.63613,Clear,0,3828.087,54.045,5
2024-05-16,00:10:38.098000,4.944,7.36041,Clear,0,3827.988,54.052,5
2024-05-16,00:10:38.198000,4.881,7.29683,Clear,0,3827.888,54.059,5
2024-05-16,00:10:38.298000,4.861,7.27681,Clear,0,3827.789,54.067,5
2024-05-16,00:10:38.398000,5.065,7.48122,Clear,0,3827.689,54.074,5
2024-05-16,00:10:38.498000,4.918,7.33436,Clear,0,3827.59,54.081,5
2024-05-16,00:10:38.598000,4.894,7.30991,Clear,0,3827.49,54.088,5
2024-05-16,00:10:38.698000,4.872,7.28797,Clear,0,3827.391,54.096,5
2024-05-16,00:10:38.798000,4.919,7.33524,Clear,0,3827.292,54.103,5
2024-05-16,00:10:38.898000,4.985,7.40071,Clear,0,3827.193,54.11,5
2024-05-16,00:10:38.998000,4.893,7.30863,Clear,0,3827.094,54.118,5
2024-05-16,00:10:39.098000,4.947,7.36296,Clear,0,3826.995,54.125,5
2024-05-16,00:10:39.198000,5.048,7.46427,Clear,0,3826.896,54.132,5
2024-05-16,00:10:39.298000,4.992,7.40757,Clear,0,3826.797,54.14,5
2024-05-16,00:10:39.398000,5.074,7.48946,Clear,0,3826.698,54.147,5
2024-05-16,00:10:39.498000,5.361,7.77656,Clear,0,3826.6,54.154,5
2024-05-16,00:10:39.598000,5.188,7.60396,Clear,0,3826.501,54.161,5
2024-05-16,00:10:39.698000,5.36,7.77612,Clear,0,3826.402,54.169,5
2024-05-16,00:10:39.798000,5.446,7.8623,Clear,0,3826.304,54.176,5
2024-05-16,00:10:39.898000,5.556,7.9721,Clear,0,3826.205,54.183,5
2024-05-16,00:10:39.998000,5.532,7.94841,Clear,0,3826.107,54.191,5
2024-05-16,00:10:40.098000,5.567,7.98295,Clear,0,3826.009,54.198,5
2024-05-16,00:10:40.198000,5.723,8.13938,Clear,0,3825.91,54.205,5
2024-05-16,00:10:40.298000,5.713,8.12899,Clear,0,3825.812,54.213,5
2024-05-16,00:10:40.398000,5.702,8.1184,Clear,0,3825.714,54.22,5
2024-05-16,00:10:40.498000,5.957,8.37279,Clear,0,3825.616,54.227,5
2024-05-16,00:10:40.598000,5.896,8.31244,Clear,0,3825.518,54.235,5
2024-05-16,00:10:40.698000,5.974,8.39005,Clear,0,3825.42,54.242,5
2024-05-16,00:10:40.798000,6.246,8.66203,Clear,0,3825.322,54.249,5
2024-05-16,00:10:40.898000,6.114,8.53024,Clear,0,3825.224,54.256,5
2024-05-16,00:10:40.998000,6.359,8.77449,Clear,0,3825.126,54.264,5
2024-05-16,00:10:41.098000,6.136,8.55157,Clear,0,3825.028,54.271,5
2024-05-16,00:10:41.198000,6.287,8.70253,Clear,0,3824.931,54.278,5
2024-05-16,00:10:41.298000,6.383,8.79902,Clear,0,3824.833,54.286,5
2024-05-16,00:10:41.398000,6.48,8.89626,Clear,0,3824.735,54.293,5
2024-05-16,00:10:41.498000,6.282,8.6979,Clear,0,3824.638,54.3,5
2024-05-16,00:10:41.598000,6.187,8.60257,Clear,0,3824.54,54.308,5
2024-05-16,00:10:41.698000,6.26,8.67553,Clear,0,3824.443,54.315,5
2024-05-16,00:10:41.798000,6.443,8.85989,Clear,0,3824.346,54.322,5
2024-05-16,00:10:41.898000,6.585,9.0024,Clear,0,3824.249,54.33,5
2024-05-16,00:10:41.998000,6.749,9.16569,Clear,0,3824.151,54.337,5
2024-05-16,00:10:42.098000,6.737,9.1539,Clear,0,3824.054,54.344,5
2024-05-16,00:10:42.198000,6.314,8.73128,Clear,0,3823.957,54.352,5
2024-05-16,00:10:42.298000,6.567,8.98353,Clear,0,3823.86,54.359,5
2024-05-16,00:10:42.398000,6.433,8.85039,Clear,0,3823.763,54.366,5
2024-05-16,00:10:42.498000,6.682,9.09903,Clear,0,3823.666,54.373,5
2024-05-16,00:10:42.598000,6.465,8.88156,Clear,0,3823.569,54.381,5
2024-05-16,00:10:42.698000,6.47,8.88705,Clear,0,3823.473,54.388,5
2024-05-16,00:10:42.798000,6.288,8.70511,Clear,0,3823.376,54.395,5
2024-05-16,00:10:42.898000,6.558,8.97488,Clear,0,3823.279,54.403,5
2024-05-16,00:10:42.998000,6.61,9.02715,Clear,0,3823.183,54.41,5
2024-05-16,00:10:43.098000,6.961,9.37796,Clear,0,3823.086,54.417,5
2024-05-16,00:10:43.198000,6.735,9.15234,Clear,0,3822.99,54.425,5
2024-05-16,00:10:43.298000,6.635,9.05177,Clear,0,3822.893,54.432,5
2024-05-16,00:10:43.398000,6.127,8.54397,Clear,0,3822.797,54.439,5
2024-05-16,00:10:43.498000,6.22,8.6365,Clear,0,3822.701,54.447,5
2024-05-16,00:10:43.598000,6.465,8.88217,Clear,0,3822.605,54.454,5
2024-05-16,00:10:43.698000,6.209,8.62635,Clear,0,3822.508,54.461,5
2024-05-16,00:10:43.798000,6.207,8.62347,Clear,0,3822.412,54.469,5
2024-05-16,00:10:43.898000,6.101,8.51798,Clear,0,3822.316,54.476,5
2024-05-16,00:10:43.998000,6.463,8.87974,Clear,0,3822.22,54.483,5
2024-05-16,00:10:44.098000,6.136,8.55337,Clear,0,3822.125,54.491,5
2024-05-16,00:10:44.198000,5.962,8.37928,Clear,0,3822.029,54.498,5
2024-05-16,00:10:44.298000,6.072,8.48879,Clear,0,3821.933,54.505,5
2024-05-16,00:10:44.398000,6.03,8.44682,Clear,0,3821.837,54.513,5
2024-05-16,00:10:44.498000,5.941,8.35804,Clear,0,3821.742,54.52,5
2024-05-16,00:10:44.598000,5.622,8.03914,Clear,0,3821.646,54.527,5
2024-05-16,00:10:44.698000,5.923,8.34016,Clear,0,3821.55,54.535,5
2024-05-16,00:10:44.798000,5.759,8.17623,Clear,0,3821.455,54.542,5
2024-05-16,00:10:44.898000,5.711,8.12777,Clear,0,3821.36,54.549,5
2024-05-16,00:10:44.998000,5.634,8.05096,Clear,0,3821.264,54.557,5
2024-05-16,00:10:45.098000,5.669,8.08547,Clear,0,3821.169,54.564,5
2024-05-16,00:10:45.198000,5.46,7.87739,Clear,0,3821.074,54.571,5
2024-05-16,00:10:45.298000,5.334,7.75093,Clear,0,3820.979,54.579,5
2024-05-16,00:10:45.398000,5.292,7.70855,Clear,0,3820.883,54.586,5
2024-05-16,00:10:45.498000,5.295,7.71166,Clear,0,3820.788,54.593,5
2024-05-16,00:10:45.598000,5.206,7.62271,Clear,0,3820.693,54.601,5
2024-05-16,00:10:45.698000,5.16,7.5766,Clear,0,3820.599,54.608,5
2024-05-16,00:10:45.798000,5.24,7.65656,Clear,0,3820.504,54.615,5
2024-05-16,00:10:45.898000,5.084,7.50059,Clear,0,3820.409,54.623,5
2024-05-16,00:10:45.998000,5.223,7.64028,Clear,0,3820.314,54.63,5
2024-05-16,00:10:46.098000,5.337,7.75426,Clear,0,3820.22,54.637,5
2024-05-16,00:10:46.198000,5.145,7.56148,Clear,0,3820.125,54.645,5
2024-05-16,00:10:46.298000,5.153,7.57002,Clear,0,3820.03,54.652,5
2024-05-16,00:10:46.398000,4.992,7.40861,Clear,0,3819.936,54.659,5
2024-05-16,00:10:46.498000,4.896,7.3131,Clear,0,3819.841,54.667,5
2024-05-16,00:10:46.598000,4.9,7.31671,Clear,0,3819.747,54.674,5
2024-05-16,00:10:46.698000,4.88,7.29738,Clear,0,3819.653,54.681,5
2024-05-16,00:10:46.798000,4.923,7.34007,Clear,0,3819.559,54.689,5
2024-05-16,00:10:46.898000,4.678,7.09485,Clear,0,3819.464,54.696,5
2024-05-16,00:10:46.998000,4.563,6.98039,Clear,0,3819.37,54.704,5
2024-05-16,00:10:47.098000,4.664,7.08139,Clear,0,3819.276,54.711,5
2024-05-16,00:10:47.198000,4.508,6.92533,Clear,0,3819.182,54.718,5
2024-05-16,00:10:47.298000,4.624,7.04086,Clear,0,3819.088,54.726,5
2024-05-16,00:10:47.398000,4.589,7.00548,Clear,0,3818.995,54.733,5
2024-05-16,00:10:47.498000,4.646,7.06328,Clear,0,3818.901,54.74,5
2024-05-16,00:10:47.598000,4.634,7.05145,Clear,0,3818.807,54.748,5
2024-05-16,00:10:47.698000,4.67,7.08757,Clear,0,3818.713,54.755,5
2024-05-16,00:10:47.798000,4.617,7.03472,Clear,0,3818.62,54.762,5
2024-05-16,00:10:47.898000,4.72,7.13748,Clear,0,3818.526,54.77,5
2024-05-16,00:10:47.998000,4.863,7.28062,Clear,0,3818.433,54.777,5
2024-05-16,00:10:48.098000,4.699,7.11709,Clear,0,3818.339,54.784,5
2024-05-16,00:10:48.198000,4.793,7.21133,Clear,0,3818.246,54.792,5
2024-05-16,00:10:48.298000,4.944,7.36244,Clear,0,3818.153,54.799,5
2024-05-16,00:10:48.398000,4.773,7.19094,Clear,0,3818.059,54.806,5
2024-05-16,00:10:48.498000,4.867,7.28538,Clear,0,3817.966,54.814,5
2024-05-16,00:10:48.598000,4.838,7.25616,Clear,0,3817.873,54.821,5
2024-05-16,00:10:48.698000,4.853,7.27061,Clear,0,3817.78,54.829,5
2024-05-16,00:10:48.798000,4.93,7.34747,Clear,0,3817.687,54.836,5
2024-05-16,00:10:48.898000,4.76,7.17777,Clear,0,3817.594,54.843,5
2024-05-16,00:10:48.998000,4.796,7.21357,Clear,0,3817.501,54.851,5
2024-05-16,00:10:49.098000,4.971,7.38913,Clear,0,3817.408,54.858,5
2024-05-16,00:10:49.198000,4.951,7.36924,Clear,0,3817.316,54.865,5
2024-05-16,00:10:49.298000,5.113,7.53114,Clear,0,3817.223,54.873,5
2024-05-16,00:10:49.398000,5.09,7.50815,Clear,0,3817.13,54.88,5
2024-05-16,00:10:49.498000,5.28,7.69783,Clear,0,3817.038,54.887,5
2024-05-16,00:10:49.598000,5.249,7.66728,Clear,0,3816.945,54.895,5
2024-05-16,00:10:49.698000,5.399,7.81723,Clear,0,3816.853,54.902,5
2024-05-16,00:10:49.798000,5.266,7.68396,Clear,0,3816.76,54.91,5
2024-05-16,00:10:49.898000,5.469,7.88699,Clear,0,3816.668,54.917,5
2024-05-16,00:10:49.998000,5.582,8.00044,Clear,0,3816.576,54.924,5
2024-05-16,00:10:50.098000,5.612,8.02957,Clear,0,3816.484,54.932,5
2024-05-16,00:10:50.198000,5.68,8.09767,Clear,0,3816.392,54.939,5
2024-05-16,00:10:50.298000,5.877,8.29486,Clear,0,3816.3,54.946,5
2024-05-16,00:10:50.398000,5.853,8.27059,Clear,0,3816.208,54.954,5
2024-05-16,00:10:50.498000,5.888,8.3063,Clear,0,3816.116,54.961,5
2024-05-16,00:10:50.598000,5.865,8.28318,Clear,0,3816.024,54.968,5
2024-05-16,00:10:50.698000,6.126,8.544,Clear,0,3815.932,54.976,5
2024-05-16,00:10:50.798000,5.986,8.4044,Clear,0,3815.84,54.983,5
2024-05-16,00:10:50.898000,6.016,8.43391,Clear,0,3815.748,54.991,5
2024-05-16,00:10:50.998000,5.99,8.40834,Clear,0,3815.657,54.998,5
2024-05-16,00:10:51.098000,6.419,8.83698,Clear,0,3815.565,55.005,5
2024-05-16,00:10:51.198000,6.26,8.6781,Clear,0,3815.474,55.013,5
2024-05-16,00:10:51.298000,6.269,8.68674,Clear,0,3815.382,55.02,5
2024-05-16,00:10:51.398000,6.509,8.92736,Clear,0,3815.291,55.027,5
2024-05-16,00:10:51.498000,6.268,8.68623,Clear,0,3815.2,55.035,5
2024-05-16,00:10:51.598000,6.455,8.87333,Clear,0,3815.108,55.042,5
2024-05-16,00:10:51.698000,6.543,8.96099,Clear,0,3815.017,55.05,5
2024-05-16,00:10:51.798000,6.359,8.77714,Clear,0,3814.926,55.057,5
2024-05-16,00:10:51.898000,6.27,8.68828,Clear,0,3814.835,55.064,5
2024-05-16,00:10:51.998000,6.396,8.81437,Clear,0,3814.744,55.072,5
2024-05-16,00:10:52.098000,6.692,9.11001,Clear,0,3814.653,55.079,5
2024-05-16,00:10:52.198000,6.296,8.7136,Clear,0,3814.562,55.086,5
2024-05-16,00:10:52.298000,6.4,8.81839,Clear,0,3814.471,55.094,5
2024-05-16,00:10:52.398000,6.433,8.85054,Clear,0,3814.381,55.101,5
2024-05-16,00:10:52.498000,6.473,8.89104,Clear,0,3814.29,55.109,5
2024-05-16,00:10:52.598000,6.359,8.77825,Clear,0,3814.199,55.116,5
2024-05-16,00:10:52.698000,6.263,8.68165,Clear,0,3814.109,55.123,5
2024-05-16,00:10:52.798000,6.336,8.75464,Clear,0,3814.018,55.131,5
2024-05-16,00:10:52.898000,6.201,8.61996,Clear,0,3813.928,55.138,5
2024-05-16,00:10:52.998000,6.057,8.47552,Clear,0,3813.837,55.146,5
2024-05-16,00:10:53.098000,6.142,8.56113,Clear,0,3813.747,55.153,5
2024-05-16,00:10:53.298000,6.034,8.45266,Clear,0,3813.567,55.168,5
2024-05-16,00:10:53.398000,5.998,8.41666,Clear,0,3813.476,55.175,5
2024-05-16,00:10:53.498000,5.808,8.2273,Clear,0,3813.386,55.182,5
2024-05-16,00:10:53.598000,5.797,8.21566,Clear,0,3813.296,55.19,5
2024-05-16,00:10:53.698000,5.72,8.13847,Clear,0,3813.206,55.197,5
2024-05-16,00:10:53.798000,5.645,8.06409,Clear,0,3813.116,55.205,5
2024-05-16,00:10:53.898000,5.669,8.08822,Clear,0,3813.027,55.212,5
2024-05-16,00:10:53.998000,5.513,7.93187,Clear,0,3812.937,55.219,5
2024-05-16,00:10:54.098000,5.56,7.97896,Clear,0,3812.847,55.227,5
2024-05-16,00:10:54.198000,5.524,7.94288,Clear,0,3812.758,55.234,5
2024-05-16,00:10:54.298000,5.255,7.67348,Clear,0,3812.668,55.242,5
2024-05-16,00:10:54.398000,5.212,7.63137,Clear,0,3812.578,55.249,5
2024-05-16,00:10:54.498000,5.226,7.64477,Clear,0,3812.489,55.256,5
2024-05-16,00:10:54.598000,5.111,7.5299,Clear,0,3812.4,55.264,5
2024-05-16,00:10:54.698000,5.011,7.4302,Clear,0,3812.31,55.271,5
2024-05-16,00:10:54.798000,5.028,7.44701,Clear,0,3812.221,55.279,5
2024-05-16,00:10:54.898000,5.031,7.44994,Clear,0,3812.132,55.286,5
2024-05-16,00:10:54.998000,4.94,7.35868,Clear,0,3812.043,55.293,5
2024-05-16,00:10:55.098000,4.879,7.29837,Clear,0,3811.954,55.301,5
2024-05-16,00:10:55.198000,4.964,7.38312,Clear,0,3811.865,55.308,5
2024-05-16,00:10:55.298000,5.034,7.45289,Clear,0,3811.776,55.316,5
2024-05-16,00:10:55.398000,4.999,7.41808,Clear,0,3811.687,55.323,5
2024-05-16,00:10:55.498000,5.067,7.48585,Clear,0,3811.598,55.33,5
2024-05-16,00:10:55.598000,5.03,7.44927,Clear,0,3811.509,55.338,5
2024-05-16,00:10:55.698000,5.152,7.57107,Clear,0,3811.42,55.345,5
2024-05-16,00:10:55.798000,5.233,7.65232,Clear,0,3811.332,55.353,5
2024-05-16,00:10:55.898000,5.253,7.67231,Clear,0,3811.243,55.36,5
2024-05-16,00:10:55.998000,5.454,7.87327,Clear,0,3811.155,55.367,5
2024-05-16,00:10:56.098000,5.467,7.88609,Clear,0,3811.066,55.375,5
2024-05-16,00:10:56.198000,5.445,7.86417,Clear,0,3810.978,55.382,5
2024-05-16,00:10:56.298000,5.513,7.93181,Clear,0,3810.889,55.39,5
2024-05-16,00:10:56.398000,5.576,7.9953,Clear,0,3810.801,55.397,5
2024-05-16,00:10:56.498000,5.639,8.05817,Clear,0,3810.713,55.404,5
2024-05-16,00:10:56.598000,5.759,8.17835,Clear,0,3810.625,55.412,5
2024-05-16,00:10:56.698000,5.966,8.38468,Clear,0,3810.537,55.419,5
2024-05-16,00:10:56.798000,5.952,8.3709,Clear,0,3810.449,55.427,5
2024-05-16,00:10:56.898000,5.909,8.32802,Clear,0,3810.361,55.434,5
2024-05-16,00:10:56.998000,5.881,8.30059,Clear,0,3810.273,55.441,5
2024-05-16,00:10:57.098000,6.091,8.51073,Clear,0,3810.185,55.449,5
2024-05-16,00:10:57.198000,6.211,8.63139,Clear,0,3810.097,55.456,5
2024-05-16,00:10:57.298000,6.109,8.52861,Clear,0,3810.01,55.464,5
2024-05-16,00:10:57.398000,6.504,8.92425,Clear,0,3809.922,55.471,5
2024-05-16,00:10:57.498000,6.43,8.84964,Clear,0,3809.834,55.479,5
2024-05-16,00:10:57.598000,6.175,8.59526,Clear,0,3809.747,55.486,5
2024-05-16,00:10:57.698000,6.44,8.86033,Clear,0,3809.659,55.493,5
2024-05-16,00:10:57.798000,6.537,8.95703,Clear,0,3809.572,55.501,5
2024-05-16,00:10:57.898000,6.563,8.98278,Clear,0,3809.485,55.508,5
2024-05-16,00:10:57.998000,6.614,9.03408,Clear,0,3809.397,55.516,5
2024-05-16,00:10:58.098000,6.561,8.98078,Clear,0,3809.31,55.523,5
2024-05-16,00:10:58.198000,6.667,9.0872,Clear,0,3809.223,55.53,5
2024-05-16,00:10:58.298000,6.549,8.96884,Clear,0,3809.136,55.538,5
2024-05-16,00:10:58.398000,6.876,9.2958,Clear,0,3809.049,55.545,5
2024-05-16,00:10:58.498000,6.573,8.99285,Clear,0,3808.962,55.553,5
2024-05-16,00:10:58.598000,6.577,8.9969,Clear,0,3808.875,55.56,5
2024-05-16,00:10:58.698000,6.949,9.3686,Clear,0,3808.788,55.568,5
2024-05-16,00:10:58.798000,6.88,9.30026,Clear,0,3808.701,55.575,5
2024-05-16,00:10:58.898000,6.633,9.05245,Clear,0,3808.615,55.582,5
2024-05-16,00:10:58.998000,6.537,8.95703,Clear,0,3808.528,55.59,5
2024-05-16,00:10:59.098000,6.653,9.07258,Clear,0,3808.441,55.597,5
2024-05-16,00:10:59.198000,6.427,8.84669,Clear,0,3808.355,55.605,5
2024-05-16,00:10:59.298000,6.491,8.91104,Clear,0,3808.269,55.612,5
2024-05-16,00:10:59.398000,6.663,9.08279,Clear,0,3808.182,55.619,5
2024-05-16,00:10:59.498000,6.681,9.10052,Clear,0,3808.096,55.627,5
2024-05-16,00:10:59.598000,6.7,9.12006,Clear,0,3808.009,55.634,5
2024-05-16,00:10:59.698000,6.482,8.9017,Clear,0,3807.923,55.642,5
2024-05-16,00:10:59.798000,6.673,9.0931,Clear,0,3807.837,55.649,5
2024-05-16,00:10:59.898000,6.476,8.89552,Clear,0,3807.751,55.657,5
2024-05-16,00:10:59.998000,6.494,8.91354,Clear,0,3807.665,55.664,5
2024-05-16,00:11:00.098000,6.686,9.10574,Clear,0,3807.579,55.671,5
2024-05-16,00:11:00.198000,6.428,8.84787,Clear,0,3807.493,55.679,5
2024-05-16,00:11:00.298000,6.087,8.50684,Clear,0,3807.407,55.686,5
2024-05-16,00:11:00.398000,6.27,8.68947,Clear,0,3807.322,55.694,5
2024-05-16,00:11:00.498000,6.368,8.78761,Clear,0,3807.236,55.701,5
2024-05-16,00:11:00.598000,6.145,8.56528,Clear,0,3807.15,55.709,5
