satellite, 39455 SHIYUAN 5 (SY-5) / PRC
catalogue, 1 NORAD
track, 20547824
variability, 1 Aperiodic
variability_period, 0.0
npoints, 690
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2022-06-05,21:38:56.196000,5.738,5.31509,Clear,0,827.577,89.209,1
2022-06-05,21:38:56.296000,5.917,5.49173,Clear,0,827.355,89.16,1
2022-06-05,21:38:56.396000,5.964,5.53818,Clear,0,827.134,89.112,1
2022-06-05,21:38:56.496000,5.896,5.46791,Clear,0,826.913,89.063,1
2022-06-05,21:38:56.596000,6.105,5.67557,Clear,0,826.693,89.015,1
2022-06-05,21:38:56.696000,6.29,5.85943,Clear,0,826.473,88.966,1
2022-06-05,21:38:56.796000,6.679,6.24656,Clear,0,826.253,88.917,1
2022-06-05,21:38:56.896000,6.944,6.51,Clear,0,826.035,88.869,1
2022-06-05,21:38:56.996000,7.131,6.6956,Clear,0,825.817,88.82,1
2022-06-05,21:38:57.096000,7.26,6.8233,Clear,0,825.599,88.771,1
2022-06-05,21:38:57.196000,7.249,6.81111,Clear,0,825.382,88.723,1
2022-06-05,21:38:57.296000,7.249,6.80906,Clear,0,825.166,88.674,1
2022-06-05,21:38:57.396000,7.468,7.02703,Clear,0,824.95,88.625,1
2022-06-05,21:38:57.496000,7.375,6.93237,Clear,0,824.735,88.576,1
2022-06-05,21:38:57.596000,7.515,7.07054,Clear,0,824.52,88.527,1
2022-06-05,21:38:57.696000,7.566,7.12076,Clear,0,824.306,88.479,1
2022-06-05,21:38:57.796000,7.693,7.24573,Clear,0,824.092,88.43,1
2022-06-05,21:38:57.896000,7.62,7.1722,Clear,0,823.879,88.381,1
2022-06-05,21:38:57.996000,7.816,7.36602,Clear,0,823.667,88.332,1
2022-06-05,21:38:58.096000,7.712,7.26085,Clear,0,823.455,88.283,1
2022-06-05,21:38:58.196000,7.784,7.33052,Clear,0,823.244,88.234,1
2022-06-05,21:38:58.296000,7.835,7.38129,Clear,0,823.033,88.185,1
2022-06-05,21:38:58.396000,7.779,7.32321,Clear,0,822.823,88.136,1
2022-06-05,21:38:58.496000,7.763,7.30617,Clear,0,822.613,88.087,1
2022-06-05,21:38:58.596000,7.789,7.33035,Clear,0,822.404,88.038,1
2022-06-05,21:38:58.696000,7.748,7.28805,Clear,0,822.196,87.989,1
2022-06-05,21:38:58.796000,7.671,7.21029,Clear,0,821.988,87.94,1
2022-06-05,21:38:58.896000,7.592,7.12885,Clear,0,821.781,87.891,1
2022-06-05,21:38:58.996000,7.797,7.33262,Clear,0,821.574,87.842,1
2022-06-05,21:38:59.096000,7.674,7.20842,Clear,0,821.368,87.792,1
2022-06-05,21:38:59.196000,7.648,7.18144,Clear,0,821.162,87.743,1
2022-06-05,21:38:59.296000,7.512,7.04339,Clear,0,820.957,87.694,1
2022-06-05,21:38:59.396000,7.417,6.9465,Clear,0,820.753,87.645,1
2022-06-05,21:38:59.496000,7.217,6.74508,Clear,0,820.549,87.596,1
2022-06-05,21:38:59.596000,7.289,6.81621,Clear,0,820.346,87.546,1
2022-06-05,21:38:59.696000,7.203,6.7288,Clear,0,820.143,87.497,1
2022-06-05,21:38:59.796000,7.083,6.60653,Clear,0,819.941,87.448,1
2022-06-05,21:38:59.896000,6.978,6.50103,Clear,0,819.74,87.398,1
2022-06-05,21:38:59.996000,6.992,6.51251,Clear,0,819.539,87.349,1
2022-06-05,21:39:00.096000,6.923,6.4428,Clear,0,819.338,87.3,1
2022-06-05,21:39:00.196000,6.91,6.42767,Clear,0,819.139,87.25,1
2022-06-05,21:39:00.296000,6.811,6.32811,Clear,0,818.939,87.201,1
2022-06-05,21:39:00.396000,6.74,6.25629,Clear,0,818.741,87.151,1
2022-06-05,21:39:00.496000,6.697,6.21132,Clear,0,818.543,87.102,1
2022-06-05,21:39:00.596000,6.563,6.07595,Clear,0,818.345,87.052,1
2022-06-05,21:39:00.696000,6.547,6.058,Clear,0,818.148,87.003,1
2022-06-05,21:39:00.796000,6.392,5.90189,Clear,0,817.952,86.953,1
2022-06-05,21:39:00.896000,6.51,6.01936,Clear,0,817.756,86.904,1
2022-06-05,21:39:00.996000,6.444,5.95072,Clear,0,817.561,86.854,1
2022-06-05,21:39:01.096000,6.443,5.94891,Clear,0,817.367,86.804,1
2022-06-05,21:39:01.196000,6.37,5.87355,Clear,0,817.173,86.755,1
2022-06-05,21:39:01.296000,6.189,5.69236,Clear,0,816.979,86.705,1
2022-06-05,21:39:01.396000,6.297,5.79932,Clear,0,816.786,86.655,1
2022-06-05,21:39:01.496000,6.266,5.76548,Clear,0,816.594,86.606,1
2022-06-05,21:39:01.596000,6.078,5.57651,Clear,0,816.403,86.556,1
2022-06-05,21:39:01.696000,5.989,5.48576,Clear,0,816.211,86.506,1
2022-06-05,21:39:01.796000,5.906,5.40233,Clear,0,816.021,86.457,1
2022-06-05,21:39:01.896000,5.642,5.13703,Clear,0,815.831,86.407,1
2022-06-05,21:39:01.996000,5.836,5.32854,Clear,0,815.642,86.357,1
2022-06-05,21:39:02.094000,5.74,5.23182,Clear,0,815.457,86.308,8
2022-06-05,21:39:02.096000,5.918,5.41034,Clear,0,815.453,86.307,1
2022-06-05,21:39:02.194000,5.822,5.31182,Clear,0,815.269,86.258,8
2022-06-05,21:39:02.196000,6.016,5.50587,Clear,0,815.265,86.257,1
2022-06-05,21:39:02.294000,5.913,5.40188,Clear,0,815.081,86.208,8
2022-06-05,21:39:02.296000,6.012,5.50128,Clear,0,815.077,86.207,1
2022-06-05,21:39:02.394000,5.701,5.18913,Clear,0,814.894,86.159,8
2022-06-05,21:39:02.396000,5.853,5.34109,Clear,0,814.891,86.158,1
2022-06-05,21:39:02.494000,5.798,5.2837,Clear,0,814.708,86.109,8
2022-06-05,21:39:02.496000,6.003,5.48942,Clear,0,814.704,86.108,1
2022-06-05,21:39:02.594000,5.676,5.16123,Clear,0,814.522,86.059,8
2022-06-05,21:39:02.596000,5.813,5.29821,Clear,0,814.518,86.058,1
2022-06-05,21:39:02.694000,5.693,5.17663,Clear,0,814.337,86.009,8
2022-06-05,21:39:02.696000,5.795,5.27908,Clear,0,814.333,86.008,1
2022-06-05,21:39:02.794000,5.466,4.94777,Clear,0,814.152,85.959,8
2022-06-05,21:39:02.796000,5.613,5.09532,Clear,0,814.149,85.958,1
2022-06-05,21:39:02.894000,5.178,4.65942,Clear,0,813.968,85.909,8
2022-06-05,21:39:02.896000,5.306,4.78733,Clear,0,813.965,85.908,1
2022-06-05,21:39:02.994000,4.573,4.05177,Clear,0,813.785,85.859,8
2022-06-05,21:39:02.996000,4.823,4.30154,Clear,0,813.781,85.858,1
2022-06-05,21:39:03.094000,4.301,3.77924,Clear,0,813.602,85.809,8
2022-06-05,21:39:03.096000,4.524,4.0024,Clear,0,813.598,85.808,1
2022-06-05,21:39:03.194000,4.616,4.09307,Clear,0,813.42,85.759,8
2022-06-05,21:39:03.196000,4.816,4.2927,Clear,0,813.416,85.758,1
2022-06-05,21:39:03.294000,5.145,4.62011,Clear,0,813.238,85.709,8
2022-06-05,21:39:03.296000,5.324,4.79896,Clear,0,813.235,85.708,1
2022-06-05,21:39:03.394000,5.463,4.93725,Clear,0,813.057,85.659,8
2022-06-05,21:39:03.396000,5.587,5.0613,Clear,0,813.053,85.658,1
2022-06-05,21:39:03.494000,5.627,5.09955,Clear,0,812.877,85.608,8
2022-06-05,21:39:03.496000,5.765,5.23762,Clear,0,812.873,85.607,1
2022-06-05,21:39:03.594000,5.774,5.24523,Clear,0,812.697,85.558,8
